ponto,veic,situacao,tipo
1,"VW/SPACEFOX","Regular","1"
2,"FIAT/SIENA","Regular","1"
3,"RENOULT/KWID","Regular","1"
4,"GM/ SPIN 1.8L M","Regular","1"
5,"RENAULT/KWID","Irregular","1"
6,"CHEV/CLASSIC","Regular","1"
7,"VW/GOL","Regular","1"
8,"GM/CORSWA","Irregular","1"
9,"FIAT/CRONOS","Regular","1"
10,"TOYOTA/ETIOS","Regular","1"
11,"","Irregular","1"
12,"GM/CLASSIC","Regular","1"
13,"FIAT/UNO EVOLUT","Irregular","1"
14,"TOYOTA/COROLLA","Regular","1"
15,"TOYOTA/COROLLA","Regular","1"
16,"CHEV/COBALTA","Regular","1"
17,"RENAULT/KWID","Irregular","1"
18,"CHEV/CLASSIC","Regular","1"
19,"CHEV/COBALT 1.8","Irregular","1"
20,"FIAT/SIENA","Regular","1"
21,"FIAT/SIENA","Regular","1"
22,"GM/CLASSIC","Regular","1"
23,"FIAT/PALIO","Irregular","1"
24,"GM/CLASSIC LS","Irregular","1"
25,"TOYOTA/YARIS","Regular","1"
26,"FIAT/SIENA 1.4","Regular","1"
27,"COROLLA CROSS","Regular","1"
28,"VW/T CROSS","Regular","1"
29,"VW VOYAGE","Regular","1"
30,"CHEV PRISMA","Regular","1"
31,"GM/CLASSIC","Regular","1"
32,"CHEV/SPIN","Regular","1"
33,"FIAT/SIENA","Regular","1"
34,"VW/VOYAGE","Regular","1"
35,"VW/POLO SENSE","Regular","1"
36,"TOYOTA","Regular","1"
37,"CHEV/ CORSA","Irregular","1"
38,"","Regular","1"
39,"CHEV/PRISMA","Regular","1"
40,"FORD/KA","Regular","1"
42,"GM CLASSIC LS","Regular","1"
43,"CHEV/CLASSIC","Regular","1"
44,"RENAULT KWID","Regular","1"
45,"HONDA/CIVIC","Regular","1"
46,"VW/VOYAGE CL","Regular","1"
47,"FIAT SIENA","Regular","1"
48,"FIAT/ PULSE","Regular","1"
49,"RENAULT/SANDEIR","Regular","1"
50,"CHEV/SPIN","Irregular","1"
51,"SPIN 1.8 LT","Regular","1"
52,"CHEV/COBALT","Irregular","1"
53,"VW/VIRTUS","Regular","1"
54,"FIAT SIENA","Irregular","1"
55,"TOYOTA/CCROSS","Regular","1"
56,"VW FOX","Irregular","1"
57,"TOYOTA/COROLLA","Regular","1"
58,"FIAT/SIENA ESSE","Regular","1"
59,"NISSAN KICKS","Regular","1"
60,"I/ FIAT CRONOS","Irregular","1"
61,"FIAT/SIENA","Regular","1"
62,"VOYAGE","Irregular","1"
63,"GM/CLASSIC LS","Irregular","1"
64,"FORD FIESTA","Irregular","1"
65,"CHEV/SPIN","Regular","1"
66,"CHEV/COBALT","Regular","1"
67,"TOYTA/CCROSS","Regular","1"
68,"TOYOTA/XEI","Irregular","1"
69,"CHEV/SPIN","Regular","1"
70,"CHEV/TRACKER","Irregular","1"
71,"FIAT/SIENA  1.4","Irregular","1"
72,"ONIX PLUS","Regular","1"
73,"CHEV/ONIX","Regular","1"
74,"GM/ONIX","Regular","1"
75,"RENAULT/KWID","Regular","1"
76,"CHEV/CLASSIC LS","Regular","1"
77,"VW/VOYAGE","Regular","1"
78,"CHEV/ONIX","Regular","1"
79,"FIAT/SIENA","Irregular","1"
80,"CHEV/ONIX","Irregular","1"
81,"CHEV/COBALT 1.8","Regular","1"
82,"CHEV/SPIN","Regular","1"
83,"CHEV/ PRISMA","Regular","1"
84,"RENAULT/ DUSTER","Irregular","1"
85,"NISSAN/VERSA","Regular","1"
86,"CHEV/ONIX","Regular","1"
87,"FORD/KA","Regular","1"
88,"GM/CLASSIC","Regular","1"
89,"WV/ FOX","Irregular","1"
90,"VW SPACE FOX","Irregular","1"
91,"CHEV/ ONIX","Regular","1"
92,"VW/VIRTUS","Irregular","1"
93,"FIAT/DOBLO","Irregular","1"
94,"GM CLASIC","Regular","1"
